"ID";"Intercept";"J-067";"E-045";"J-092";"D2";"J-067:E-045";"J-067:J-092";"J-067:D2";"E-045:J-092";"E-045:D2";"J-092:D2";"J-067:E-045:J-092";"J-067:E-045:D2";"J-067:J-092:D2";"E-045:J-092:D2";"J-067:E-045:J-092:D2";"adj.R2";"df";"LL";"AICc";"ΔAICc";"weight"
"768";31,0713908632359;"+";"+";"+";"+";"+";"+";"+";"+";NA;"+";NA;NA;NA;NA;NA;0,288093822955644;14;-506,837707158499;1045,11803726782;12,7130725759866;0.000190649991621104
"464";30,8756276443305;"+";"+";"+";"+";NA;NA;"+";"+";"+";NA;NA;NA;NA;NA;NA;0,261220775162414;12;-509,374313130286;1045,26475529283;12,859790601;0.000177164774666793
"4718";32,2893723478372;"+";NA;"+";"+";NA;"+";"+";NA;NA;"+";NA;NA;"+";NA;NA;0,273845569002392;13;-508,194320441165;1045,34799047583;12,9430257839963;0.000169942923804488
"4096";34,9891201215451;"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;NA;NA;0,351693818896769;19;-500,431379965876;1045,35848642748;12,9535217356479;0.000169053403580454
"352";31,1393310865095;"+";"+";"+";"+";"+";NA;"+";NA;"+";NA;NA;NA;NA;NA;NA;0,259716580436692;12;-509,513559008532;1045,54324704932;13,1382823574922;0.000154135849258643
"96";30,2879249357144;"+";"+";"+";"+";"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;0,233230317799553;10;-511,920171971052;1045,58637568814;13,1814109963052;0.000150847596464268
"5104";33,9412768621828;"+";"+";"+";"+";NA;"+";"+";"+";"+";"+";NA;NA;"+";NA;NA;0,324553815535171;17;-503,238743323258;1045,62034378937;13,2153790975431;0.000148307227195819
"13312";36,8192691332095;"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;NA;"+";"+";NA;0,363077216422669;20;-499,218748396026;1045,6788761024;13,2739114105652;0.000144029742741653
"7168";38,571353492113;"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;"+";"+";NA;NA;0,362383503963946;20;-499,293264471731;1045,82790825381;13,4229435619754;0.000133687334564153
"136";23,5581781507762;"+";"+";"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;0,176035108803875;6;-516,84546010944;1046,33707406503;13,9321093732021;0.000103639739662121
